id,score,binary,question,ground_truth,pred_answer,status
2,0.5,1,¿Qué procedimiento debe seguirse para iniciar sesión de usuario en el Panel táctil 1005808 MTPE Machine DAG BR 449?,Se debe cambiar a la pantalla del sistema «Iniciar sesión de usuario» mediante el menú de navegación del panel táctil.,"Para iniciar sesión de usuario en el Panel táctil 1005808 MTPE Machine DAG BR 449, debe cambiar a la pantalla del sistema ""Iniciar sesión de usuario"" (Log in). Para ejecutar funciones manuales o modificar parámetros, debe iniciar sesión con una cuenta de usuario que tenga las habilitaciones necesarias.",OK
4,1.0,1,¿Qué función corresponde al bloque gráfico N.º 004 en el Panel táctil 1005808 MTPE Machine DAG BR 449?,"El bloque gráfico N.º 004 corresponde a “Refrigeración, termorregulación, aire caliente”.","El bloque gráfico N.º 004 corresponde a 'Refrigeración, termorregulación, aire caliente'.",OK
5,1.0,1,¿Quién es el fabricante del Panel táctil 1005806 Punching machine según la portada del manual?,"El fabricante es 3CON Anlagenbau GmbH, Kleinfeld 16, 6341 Ebbs / Austria.",El fabricante del Panel táctil 1005806 Punching machine según la portada del manual es 3CON Anlagenbau GmbH.,OK
7,0.5,1,¿Qué procedimiento debe cumplirse para utilizar el temporizador (bloque gráfico 003) en el Panel táctil 1005806 Punching machine?,"Para utilizar el temporizador, el equipo debe apagarse y confirmarse el conjunto de paradas de emergencia, además debe seleccionarse el tiempo de comienzo deseado (hora:minutos).","Para utilizar el temporizador (bloque gráfico 003) en el Panel táctil 1005806 Punching machine, se deben cumplir las siguientes condiciones y procedimientos: 1) El temporizador solo funciona si la tensión de control está encendida, la parada de emergencia está confirmada y la máquina está en modo manual. 2) Para utilizar el temporizador, el equipo debe apagarse y confirmarse el conjunto de paradas de emergencia. 3) Se debe seleccionar el tiempo de comienzo deseado (hora:minutos).",OK
8,1.0,1,¿Qué condición debe cumplirse para poder ejecutar el accionamiento manual de los actores (bloque gráfico 013) en el Panel táctil 1005806 Punching machine?,"Deben estar activados los dispositivos de seguridad, el modo de funcionamiento manual debe estar activado y el desbloqueo de los actuadores debe estar disponible.","Para ejecutar el accionamiento manual de los actores (bloque gráfico 013) en el Panel táctil 1005806 Punching machine, deben cumplirse las siguientes condiciones: los dispositivos de seguridad están activados, el modo de funcionamiento manual debe estar activado y el desbloqueo de los actuadores debe estar disponible.",OK
9,0.5,1,¿Qué normativa regula las mediciones realizadas en la MTPE Machine DAG BR 449 según el informe DGUV?,"Las mediciones se realizaron según la DGUV Vorschrift 3 y las normas DIN VDE 0413 Teil 4, DIN VDE 0100 Teil 600, DIN VDE 0100 Teil 610 y DIN VDE 0100-410.",Las mediciones realizadas en la MTPE Machine DAG BR 449 según el informe DGUV se regulan por la DGUV Vorschrift 3.,OK
10,0.0,0,¿Qué procedimiento de medición de aislamiento se aplica en la MTPE Machine DAG BR 449 y cuál es la tensión de prueba utilizada?,"Se realiza una medición de aislamiento con una tensión de prueba de 500V y se exige para Schutzklasse I >0,3MΩ (con elementos calefactores), >1MΩ (sin elementos calefactores) y >2MΩ para partes conductoras accesibles sin conexión SL.",La información solicitada sobre el procedimiento de medición de aislamiento y la tensión de prueba utilizada en la MTPE Machine DAG BR 449 no se encuentra en los documentos disponibles.,NOT_FOUND_IN_DOCS
12,0.0,0,¿Qué condición debe cumplirse para que la medición FI en la MTPE Machine DAG BR 449 sea conforme?,El interruptor FI debe disparar con un tiempo de disparo aproximado de 40 ms y con una corriente de disparo inferior a 30 mA.,La condición para que la medición FI en la MTPE Machine DAG BR 449 sea conforme no se encuentra especificada en los documentos proporcionados.,NOT_FOUND_IN_DOCS
13,1.0,1,¿Qué advertencia general debe cumplirse antes de realizar cualquier tarea de mantenimiento en la MTPE Machine DAG BR 449?,"Antes de llevar a cabo ninguna tarea de mantenimiento, deben leerse atentamente los datos de los puntos de mantenimiento.","Antes de realizar cualquier tarea de mantenimiento, se debe leer atentamente los datos de los puntos de mantenimiento.",OK
14,0.5,1,¿Qué procedimiento debe seguirse para asegurar la instalación frente a una reconexión durante tareas de mantenimiento en la MTPE Machine DAG BR 449?,"Debe señalizarse y cerrarse la instalación con avisos de mantenimiento, colocar advertencia en el interruptor principal, interrumpir el circuito de seguridad y asegurarlo frente a un cierre, además de cerrar y despresurizar la conexión de aire comprimido.","Para asegurar la instalación frente a una reconexión durante tareas de mantenimiento, se deben seguir estos pasos: 1) Señalizar y cerrar la instalación antes de las tareas de reparación con un cartel que diga «¡La instalación se encuentra en mantenimiento!» / «¡Entrada prohibida a personal no autorizado!». 2) Colocar una advertencia en el interruptor principal. 3) Interrumpir y asegurar el circuito de seguridad frente a un cierre.",OK
