id,question,ground_truth
0,Which is the impact indicator whose measure unit is disease incidence?,"The impact indicator measured as disease incidence is the Particulate Matter, or PM"
1,Which are the modules or stages studied during the life cycle assessment of a product?,"The modules or stages studied in the life cycle assessment of a product include:\n- Module A1: Retrieval of raw materials\n- Module A2: Transportation of raw materials\n- Module A3: Core activities of the DecoralÂ® Group's facilities\n- Module A4: Road transportation of the declared unit (1 m2 of sheet metal and packaging) to the installation site\n- Module A5: Installation process of 1 m2 of sheet metal on-site\n- Module C1: Removal of sheets at the end of their useful life or at the end of the building in which they are installed\n- Module C2: Transportation of end-of-life products to waste treatment centers\n- Module C3: Preparation and treatment processes of waste for recycling or energy recovery\n- Module C4: Disposal of inert product in landfill\n- Module D: Potential environmental loads and benefits related to material reuse, recovery, and recycling."
2,"For Flexible Bitumen Sheets For Roof Waterproofing, what is the potential environmental impact of System 1 (SINGLE LAYER FULLY TORCHED) during stage A1 in terms of the GWP-fossil?","For System 1, which involves Single Layer Fully Torched application, the potential environmental impact in stage A1 assessed in terms of Global Warming Potential (GWP-fossil) is 3.32E-02 kg CO2 eq."
3,"For Flexible Bitumen Sheets For Roof Waterproofing, what is the potential additional environmental impact during phase A3 of System 1 (SINGLE LAYER FULLY TORCHED) in terms of PM?","For System 1 (Single Layer Fully Torched), the potential additional environmental impact during phase A3 in terms of PM is is 9.37E-11 per functional unit (FU)."
4,"For Flexible Bitumen Sheets For Roof Waterproofing, what is the potential environmental impact of System 1 (SINGLE LAYER FULLY TORCHED) during stage A3 in terms of GWP-biogenic?","In the context of System 1 (SINGLE LAYER FULLY TORCHED), the potential environmental impact of GWP-biogenic during the stage A3 is -2.74E-03 kg CO2 eq."
5,"For Flexible Bitumen Sheets For Roof Waterproofing, what are the components of the product specification?","According to the product specification of Flexible Bitumen Sheets For Roof Waterproofing, the components are: Bitumen, Polymers (Polyolefins, SBS), Reinforcements (â€¦), Minerals (â€¦) and Others (â€¦)."
6,"According to the EWA's EPD, what are components needed for producing waterproofing systems for flexible bitumen sheets used in roof waterproofing, and which are their weights?","The components and their weights are bitumen (45-52%), polymers (6-10%), reinforcement (2-4%), minerals as fillers or finishing (30-41%) and other materials (3-5%)."
7,"For FLAT SHEET IN FIBER CEMENT, regarding a natural color sheet with 4 mm of thickness, what is the use of renewable primary energy resources used as feedstock for the stage A1 Raw material supply?","For a flat sheet of fiber cement with 4 mm of thickness, the use of renewable primary energy resources as raw materials in the A1 Raw Material Supply stage is 1.20E+01 MJ."
8,"For FLAT SHEET IN FIBER CEMENT, regarding a natural color sheet with 6 mm of thickness, what is the use of NON-RENEWABLE primary energy resources used as raw materials for the A3 Production Process stage?",The use of NON-RENEWABLE primary energy resources as raw materials in the A3 Production Process for FLAT SHEET IN FIBER CEMENT with 6 mm of thickness is 1.11E+00 MJ.
9,"For FLAT SHEET IN FIBER CEMENT, regarding a natural color sheet with 5 mm of thickness, what is the amount of Hazardous waste disposed during phase A2 Transport?",The values for FLAT SHEET IN FIBER CEMENT of Hazardous waste disposed during A2 Transport phase is 5.53E-03 KG.
10,"For FLAT SHEET IN FIBER CEMENT, regarding a natural color sheet with 5 mm of thickness, what is the value of the Global Warming Potential (GWP) in stage A1 Raw material supply?",The value of the Global Warming Potential in stage A1 is 6.48E+00 kg CO2 eq.
11,"For FLAT SHEET IN FIBER CEMENT, regarding a natural color sheet with 4 mm of thickness, what is the Acidification Potential, AP, in A2 Transport stage?","For FLAT SHEET IN FIBER CEMENT, the Acidification Potential, AP, during the A2 Transport stage is 2.31E-03 kg SO2 eq."
12,"What are the specific details about the content percentages of carbon, silicon, manganese, and titanium in cold rolled formable steel (DC01)?","The specific details about the content percentages of carbon, silicon, manganese, and titanium in cold rolled formable steel (DC01) are as follows:\n\n- Carbon (C) content is less than 0.12%\n- Silicon (Si) content is less than 0.50%\n- Manganese (Mn) content is less than 0.60%\n- Titanium (Ti) content is less than 0.30%"
13,"What is the total non-renewable primary energy use (excluding non-renewable primary energy resources used as raw materials) per 1,000 kg of cold rolled steel sheets and coils in stages A1-A3, according to the EN15804+A1 versions of the indicators?","The total non-renewable primary energy use (excluding non-renewable primary energy resources used as raw materials) per 1,000 kg of cold rolled steel sheets and coils, according to the EN15804+A1 versions of the indicators, is 2.60E+04 MJ, net calorific value."
14,"List the parameters on which the environmental impacts per 1,000 kg of of cold rolled steel sheets and coils are measured, based on EN15804+A1 indicators.","The parameters are Global warming potential (GWP), Euthropication potential (EP), Acidification potential (AP), Photo-oxidant formation potential (POCP), Ozone layer depletion potential (ODP), Abiotic depletion potential: fossil (ADP-fossil), Abiotic depletion potential: elements (ADP-elements)."
15,"What is the total potential environmental impact of 1,000 kg of cold rolled steel sheets and coils in terms of depletion of abiotic resources - minerals and metals (ADP-minerals & metals) in the phase C4, according to the EN15804+A2 versions of indicators?",The total potential environmental impact in terms of depletion of abiotic resources - minerals and metals (ADP-minerals & metals) in phase C4 is 7.32E-08 kg Sb eq.
16,"For Cold rolled steel sheets and coils, what is the content of iron for Weather resistant steel?",The content of iron (Fe) in the composition of Weather Resistant Steel is stated to be greater than 96%.
17,"What is the global warming potential (GWP) associated with the production of 1 ton of cold-rolled steel in stages A1-A3 according to the units provided, following the EN 15804+A1 versions of the indicators?",The global warming potential (GWP) associated with the production of 1 ton of cold-rolled steel in stages A1-A3 is specified as 2.34E+03 kg CO2 eq.
18,"How many kilograms of hazardous waste are disposed of per 1,000 kg of cold-rolled steel sheets and coils, based on the units provided in step A1-A3?","For every 1,000 kg of cold-rolled steel sheets and coils, the amount of hazardous waste disposed is 8.98E+00 kg."
19,"For Cold rolled steel sheets and coils, what is the value of the eutrophication potential (EP) for stage C3? ",The eutrophication potential (EP) for stage C3 is specified as 4.22E-03 kg PO4 eq.
20,In which unit is expressed the parameter Hazardous waste disposed of the cold rolled steel sheets and coils?,The Hazardous waste disposed of cold rolled steel sheets and coils is expressed in kg.
21,What is the potential environmental impact GWP-fossil in kg CO2 equivalent for 1 kg of coated aluminum foil for stages A1-A3?,"The GWP-fossil per 1kg of coated aluminium foil for stages A1-A3 is 10,48 kg CO2 eq."
22,What is the resource consumption indicator PERE in MJ per 1 kg of coated aluminum sheet in stage C2?,"The PERE per 1kg of coated aluminium sheet for stage C2 is 0,003MJ."
23,What is the GWP-Luluc Environmental Impact Potential of coated aluminium for stage A5?,"The GWP-Luluc Environmantal Impact Potential of coated aluminium in stage A5 is 7,69E-05 kg CO2 eq."
24,What is the value of the PERM indicator for Installation stage A4 of coated aluminium?,The PERM indicator of coated aluminium for stage A4 is 0 MJ.
25,What is the standard GRP coil and sheet maximum length if the thickness range is 2â‰¤Tâ‰¤3 and the width range is 900 â€“ 1 070?,The maximum length is 4000 mm.
26,"What is th sum of all environmental impacts of GWP-fossil per 1 ton of ASTM/ASME Hot Rolled Coil and Sheet, according to EN 15804:2012+A2:2019?",The sum of all environmental impacts of GWP from fossil sources is assessed per 1 ton of ASTM/ASME Hot Rolled Coil and Sheet is 2818.73 kg CO2 eq.
27,"What is the environmental impact of EP-terrestrial per 1 ton of ASTM/ASME Hot Rolled Coil and Sheet during stage C2, according to EN 15804:2012+A2:2019?",The environmental impact of EP-terrestrial is evaluated per 1 ton of ASTM/ASME Hot Rolled Coil and Sheet in stage C2 is 0.51 mol N eq..
