id,query,tipo,groundtruth,documento,ruta,pagina,chunks
2,¿Qué procedimiento debe seguirse para iniciar sesión de usuario en el Panel táctil 1005808 MTPE Machine DAG BR 449?,procedimiento,Se debe cambiar a la pantalla del sistema «Iniciar sesión de usuario» mediante el menú de navegación del panel táctil.,1005808 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\02 Manejo\1005808 02 Panel táctil.pdf,5,
4,¿Qué función corresponde al bloque gráfico N.º 004 en el Panel táctil 1005808 MTPE Machine DAG BR 449?,factual,"El bloque gráfico N.º 004 corresponde a “Refrigeración, termorregulación, aire caliente”.",1005808 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\02 Manejo\1005808 02 Panel táctil.pdf,2,
5,¿Quién es el fabricante del Panel táctil 1005806 Punching machine según la portada del manual?,factual,"El fabricante es 3CON Anlagenbau GmbH, Kleinfeld 16, 6341 Ebbs / Austria.",1005806 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Punching Machine\1005806 Punching machine DAG BR 449\Español\02 Manejo\1005806 02 Panel táctil.pdf,1,
7,¿Qué procedimiento debe cumplirse para utilizar el temporizador (bloque gráfico 003) en el Panel táctil 1005806 Punching machine?,procedimiento,"Para utilizar el temporizador, el equipo debe apagarse y confirmarse el conjunto de paradas de emergencia, además debe seleccionarse el tiempo de comienzo deseado (hora:minutos).",1005806 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Punching Machine\1005806 Punching machine DAG BR 449\Español\02 Manejo\1005806 02 Panel táctil.pdf,12,
8,¿Qué condición debe cumplirse para poder ejecutar el accionamiento manual de los actores (bloque gráfico 013) en el Panel táctil 1005806 Punching machine?,regla,"Deben estar activados los dispositivos de seguridad, el modo de funcionamiento manual debe estar activado y el desbloqueo de los actuadores debe estar disponible.",1005806 02 Panel táctil.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\Punching Machine\1005806 Punching machine DAG BR 449\Español\02 Manejo\1005806 02 Panel táctil.pdf,24,
9,¿Qué normativa regula las mediciones realizadas en la MTPE Machine DAG BR 449 según el informe DGUV?,factual,"Las mediciones se realizaron según la DGUV Vorschrift 3 y las normas DIN VDE 0413 Teil 4, DIN VDE 0100 Teil 600, DIN VDE 0100 Teil 610 y DIN VDE 0100-410.",1005808 07 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\01 Seguridad\1005808 07 DGUV.pdf,1,
10,¿Qué procedimiento de medición de aislamiento se aplica en la MTPE Machine DAG BR 449 y cuál es la tensión de prueba utilizada?,procedimiento,"Se realiza una medición de aislamiento con una tensión de prueba de 500V y se exige para Schutzklasse I >0,3MΩ (con elementos calefactores), >1MΩ (sin elementos calefactores) y >2MΩ para partes conductoras accesibles sin conexión SL.",1005808 07 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\01 Seguridad\1005808 07 DGUV.pdf,8,
12,¿Qué condición debe cumplirse para que la medición FI en la MTPE Machine DAG BR 449 sea conforme?,regla,El interruptor FI debe disparar con un tiempo de disparo aproximado de 40 ms y con una corriente de disparo inferior a 30 mA.,1005808 07 DGUV.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\01 Seguridad\1005808 07 DGUV.pdf,15,
13,¿Qué advertencia general debe cumplirse antes de realizar cualquier tarea de mantenimiento en la MTPE Machine DAG BR 449?,regla,"Antes de llevar a cabo ninguna tarea de mantenimiento, deben leerse atentamente los datos de los puntos de mantenimiento.",1005808 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\03 Mantenimiento\1005808 01 Plan de mantenimiento.pdf,3,
14,¿Qué procedimiento debe seguirse para asegurar la instalación frente a una reconexión durante tareas de mantenimiento en la MTPE Machine DAG BR 449?,procedimiento,"Debe señalizarse y cerrarse la instalación con avisos de mantenimiento, colocar advertencia en el interruptor principal, interrumpir el circuito de seguridad y asegurarlo frente a un cierre, además de cerrar y despresurizar la conexión de aire comprimido.",1005808 01 Plan de mantenimiento.pdf,Back Up HD CEFA\Celulas-Esac Grandes\CEL13-CELULA VAN.EA\IR Welding Machine\1005808 MTPE Machine DAG BR 449\Español\03 Mantenimiento\1005808 01 Plan de mantenimiento.pdf,5,
